rank,repo_name,language,influence_score,influence_tier,stars_score,openrank_score,activity_score,bus_factor_score,raw_stars,raw_openrank,raw_activity,raw_bus_factor,influence_trend,trend_value,community_health,growth_potential,market_position
149,rails/rails,Ruby,173.66,S-Tier,1.88,8.45,13.01,5.62,263,201.65,658.19,100,stable,-0.0277,fair,low,leader
150,o3de/o3de,C++,172.84,S-Tier,0.67,5.55,13.05,1.46,94,132.43,660.36,26,stable,-0.0419,fair,low,leader
151,grafana/loki,Go,169.65,S-Tier,1.93,9.0,12.85,3.99,270,214.75,650.21,71,rising,0.1689,fair,medium,leader
152,bioconda/bioconda-recipes,Python,168.5,S-Tier,0.01,8.11,12.83,7.19,1,193.52,649.14,128,declining,-0.0501,fair,low,leader
153,angular/angular,TypeScript,167.1,S-Tier,5.34,13.32,12.64,3.15,748,318.03,639.83,56,declining,-0.1629,fair,low,leader
154,denoland/deno,TypeScript,165.07,S-Tier,4.66,9.47,12.63,3.99,653,226.04,639.09,71,rising,0.1545,fair,medium,leader
155,apache/beam,Java,163.91,S-Tier,1.06,8.39,12.65,1.69,148,200.25,640.26,30,rising,0.1341,fair,high,leader
156,strapi/strapi,TypeScript,160.73,S-Tier,5.04,13.32,12.36,10.22,706,317.85,625.7,182,stable,0.05,fair,low,leader
157,element-plus/element-plus,TypeScript,160.23,S-Tier,3.43,9.6,12.41,12.64,481,229.08,628.21,225,declining,-0.315,fair,low,leader
158,JuliaLang/julia,Julia,160.22,S-Tier,2.18,8.14,12.49,2.7,305,194.26,632.16,48,rising,0.0527,fair,medium,leader
159,SerenityOS/serenity,C++,159.88,S-Tier,2.36,9.17,12.46,1.35,331,218.99,630.79,24,rising,0.1612,fair,medium,leader
160,rancher/rancher,Go,158.19,S-Tier,1.23,8.29,12.41,3.88,172,197.86,628.25,69,declining,-0.0962,fair,low,leader
161,openssl/openssl,C,157.3,S-Tier,2.08,10.52,12.34,2.42,291,251.17,624.39,43,rising,0.0658,fair,medium,leader
162,uBlockOrigin/uAssets,Unknown,155.36,S-Tier,0.39,11.37,12.21,16.69,54,271.36,617.8,297,declining,-0.1384,fair,medium,leader
163,flutter/engine,C++,154.94,S-Tier,0.45,18.53,12.14,1.12,63,442.42,614.15,20,rising,0.0905,fair,medium,leader
164,microsoft/fluentui,TypeScript,154.49,S-Tier,2.33,12.6,12.19,1.29,326,300.89,616.95,23,stable,-0.0103,fair,low,leader
165,hashicorp/vault,Go,153.59,S-Tier,2.13,10.62,12.19,2.08,298,253.4,616.69,37,rising,0.067,fair,medium,leader
166,qgis/QGIS,C++,151.36,S-Tier,1.91,11.72,12.07,3.48,267,279.81,610.96,62,declining,-0.1084,fair,medium,leader
167,apache/hudi,Java,150.19,S-Tier,0.96,10.45,12.06,2.3,134,249.36,610.43,41,rising,0.1005,fair,medium,leader
168,kubevirt/kubevirt,Go,148.15,S-Tier,0.61,6.85,12.05,1.18,85,163.51,609.61,21,declining,-0.0551,fair,low,leader
169,oppia/oppia,Python,147.93,S-Tier,0.46,8.42,12.01,2.92,65,201.01,607.56,52,rising,0.1126,fair,high,leader
170,laravel/framework,PHP,147.5,S-Tier,1.89,9.17,11.95,5.17,265,218.89,604.64,92,declining,-0.1248,fair,low,leader
171,PaddlePaddle/PaddleOCR,Python,147.3,S-Tier,5.35,8.32,11.88,13.43,750,198.58,600.97,239,stable,-0.0473,fair,low,leader
172,cloudflare/cloudflare-docs,JavaScript,146.4,S-Tier,0.62,8.51,11.94,2.08,87,203.1,604.32,37,stable,0.0439,fair,low,leader
173,electron/electron,C++,143.88,S-Tier,4.97,9.67,11.73,9.16,696,230.83,593.64,163,declining,-0.0731,fair,low,leader
174,kubernetes/test-infra,Go,143.69,S-Tier,0.19,5.22,11.89,2.81,27,124.72,601.47,50,declining,-0.2586,fair,low,leader
175,containers/podman,Go,142.99,S-Tier,2.87,8.89,11.76,3.03,402,212.28,595.08,54,stable,-0.0085,fair,low,leader
176,ruffle-rs/ruffle,Rust,138.5,S-Tier,3.81,10.95,11.52,2.87,534,261.33,582.94,51,rising,0.2114,fair,high,leader
177,tailscale/tailscale,Go,136.91,S-Tier,3.51,10.16,11.47,2.81,491,242.47,580.35,50,rising,0.231,fair,medium,leader
178,apache/flink,Java,135.85,S-Tier,2.0,6.8,11.5,1.74,280,162.25,582.21,31,declining,-0.1535,fair,low,leader
179,ValveSoftware/Proton,Unknown,132.89,S-Tier,1.72,8.18,11.31,12.19,241,195.22,572.28,217,declining,-0.0841,fair,low,leader
180,tachiyomiorg/tachiyomi-extensions,Kotlin,130.16,S-Tier,0.41,12.5,11.12,13.93,57,298.5,562.71,248,stable,0.0007,fair,low,leader
181,openhab/openhab-addons,Java,129.75,S-Tier,0.1,8.77,11.22,2.08,14,209.36,568.06,37,stable,0.0187,fair,medium,leader
182,apache/tvm,C++,129.73,S-Tier,1.14,7.1,11.24,1.74,159,169.57,568.9,31,declining,-0.0604,good,low,leader
183,renovatebot/renovate,TypeScript,128.17,S-Tier,2.69,9.81,11.09,3.6,377,234.12,561.45,64,stable,0.028,fair,medium,leader
184,ziglang/zig,Unknown,127.48,S-Tier,4.89,7.34,11.07,5.06,685,175.23,560.28,90,rising,0.1884,fair,medium,leader
185,AdguardTeam/AdguardFilters,JavaScript,124.47,S-Tier,0.48,21.08,10.76,1.52,67,503.27,544.45,27,stable,0.0155,fair,medium,leader
186,dotnet/docs,JavaScript,124.45,S-Tier,0.29,8.28,10.98,3.99,41,197.66,555.88,71,stable,0.0052,fair,low,leader
187,apache/superset,Python,124.42,S-Tier,3.68,12.87,10.86,3.26,515,307.13,549.37,58,stable,-0.0345,fair,low,leader
188,scikit-learn/scikit-learn,Python,123.0,S-Tier,3.6,9.76,10.86,1.63,504,232.93,549.4,29,declining,-0.0977,fair,low,leader
189,github/codeql,JavaScript,122.94,S-Tier,0.91,8.11,10.92,1.24,128,193.54,552.74,22,stable,0.0281,fair,low,leader
190,bitcoin/bitcoin,C++,122.59,S-Tier,3.74,8.55,10.86,1.63,524,204.18,549.45,29,declining,-0.152,fair,low,leader
191,facebook/react,JavaScript,121.49,S-Tier,16.29,8.53,10.6,8.15,2282,203.52,536.48,145,declining,-0.1347,fair,low,leader
192,dbeaver/dbeaver,Java,119.74,S-Tier,4.55,12.88,10.59,11.01,637,307.54,535.87,196,rising,0.0907,fair,medium,leader
193,GoogleChrome/developer.chrome.com,JavaScript,119.5,S-Tier,0.27,8.82,10.76,1.91,38,210.5,544.34,34,rising,0.2201,fair,medium,leader
194,mui/mui-x,TypeScript,117.78,S-Tier,0.84,14.36,10.53,9.78,118,342.87,532.7,174,rising,0.1112,fair,medium,leader
195,microsoft/azuredatastudio,TypeScript,115.81,S-Tier,0.26,9.81,10.57,1.46,37,234.11,534.77,26,stable,-0.0152,fair,low,leader
196,MicrosoftDocs/microsoft-365-docs,Markdown,109.71,S-Tier,0.2,9.9,10.22,12.19,28,236.38,517.25,217,stable,-0.0133,fair,medium,leader
197,sveltejs/kit,JavaScript,107.07,S-Tier,2.7,8.98,10.09,9.49,378,214.39,510.41,169,stable,0.0282,fair,medium,leader
198,Azure/azure-sdk-for-js,TypeScript,105.97,S-Tier,0.17,6.21,10.16,1.57,24,148.32,514.28,28,declining,-0.1702,fair,low,leader
199,vectordotdev/vector,Unknown,104.56,S-Tier,1.63,7.4,10.05,1.24,229,176.69,508.55,22,stable,0.0333,fair,medium,leader
200,OpenAPITools/openapi-generator,Java,103.59,S-Tier,2.59,7.77,9.94,9.49,363,185.39,502.91,169,stable,0.0102,fair,medium,leader
201,Lightning-AI/lightning,Python,102.54,S-Tier,3.22,10.31,9.86,2.81,451,246.18,498.86,50,declining,-0.1509,good,low,leader
202,joomla/joomla-cms,PHP,102.03,S-Tier,0.17,10.17,9.89,1.63,24,242.8,500.33,29,declining,-0.0803,fair,medium,leader
203,solana-labs/solana,Rust,100.81,S-Tier,0.78,8.94,9.84,1.01,109,213.46,498.15,18,declining,-0.135,fair,low,leader
204,logseq/logseq,Clojure,99.45,S-Tier,4.58,9.56,9.66,10.0,642,228.25,488.7,178,stable,0.0073,fair,low,leader
205,grpc/grpc,C++,95.59,S-Tier,2.33,8.72,9.55,1.74,326,208.07,483.36,31,rising,0.068,fair,medium,leader
206,apache/pulsar,Java,93.49,S-Tier,1.11,7.18,9.49,1.63,156,171.45,480.42,29,declining,-0.1603,fair,low,leader
207,scipy/scipy,Python,93.28,S-Tier,0.94,7.66,9.47,1.74,132,182.81,479.46,31,declining,-0.0594,fair,low,leader
208,obsproject/obs-studio,C++,91.54,S-Tier,4.56,8.42,9.3,3.15,639,201.04,470.63,56,rising,0.1013,fair,medium,leader
209,apache/shardingsphere,Java,89.0,S-Tier,1.11,10.11,9.19,2.19,156,241.28,464.93,39,stable,-0.04,fair,low,leader
210,Azure/azure-powershell,PowerShell,87.24,S-Tier,0.29,7.66,9.15,3.2,40,182.96,463.18,57,stable,-0.0244,fair,low,leader
211,flathub/flathub,Python,86.0,S-Tier,0.18,6.85,9.11,2.08,25,163.48,461.05,37,declining,-0.1645,fair,low,leader
212,PowerShell/PowerShell,C#,85.68,S-Tier,3.41,8.1,9.01,2.47,477,193.32,455.94,44,rising,0.2423,fair,medium,leader
213,alibaba/nacos,Java,85.38,S-Tier,3.09,6.63,8.99,9.33,433,158.31,455.08,166,declining,-0.16,fair,low,leader
214,remix-run/remix,TypeScript,84.74,S-Tier,3.42,6.5,8.97,7.3,479,155.28,453.71,130,declining,-0.2645,fair,low,leader
215,gitpod-io/gitpod,TypeScript,83.5,S-Tier,1.24,10.05,8.89,0.73,174,239.86,449.91,13,stable,-0.0465,fair,low,leader
216,webcompat/web-bugs,Unknown,82.01,S-Tier,0.1,16.22,8.63,9.44,14,387.1,436.96,168,stable,0.0248,fair,low,leader
217,github/docs,JavaScript,81.56,S-Tier,2.36,7.92,8.8,3.26,330,189.05,445.1,58,declining,-0.2057,fair,low,leader
218,php/php-src,C,79.92,A-Tier,1.38,7.37,8.74,1.4,193,175.96,442.38,25,declining,-0.0702,fair,low,challenger
219,metersphere/metersphere,Java,79.29,A-Tier,1.61,9.92,8.64,2.25,225,236.87,437.15,40,rising,0.0671,fair,medium,challenger
220,postmanlabs/postman-app-support,JavaScript,79.19,A-Tier,0.21,7.76,8.68,7.64,30,185.25,439.02,136,rising,0.0852,fair,medium,challenger
221,ccxt/ccxt,JavaScript,78.43,A-Tier,2.48,10.75,8.55,2.92,348,256.69,432.65,52,rising,0.0647,fair,medium,challenger
222,home-assistant/frontend,TypeScript,77.51,A-Tier,0.34,9.05,8.55,7.58,48,216.04,432.48,135,stable,0.0297,fair,medium,challenger
223,dotnet/efcore,C#,77.05,A-Tier,0.91,7.69,8.53,8.6,128,183.46,431.92,153,stable,0.0009,fair,low,challenger
224,ethereum/ethereum-org-website,JavaScript,75.52,A-Tier,0.83,7.95,8.47,3.48,116,189.82,428.63,62,stable,0.0214,fair,low,challenger
225,MetaMask/eth-phishing-detect,JavaScript,72.88,A-Tier,0.27,11.72,8.19,9.78,38,279.85,414.64,174,rising,0.7396,fair,high,challenger
226,freddier/hyperblog,JavaScript,72.69,A-Tier,1.09,6.19,8.28,13.2,153,147.71,419.05,235,declining,-0.0577,fair,low,challenger
227,mlflow/mlflow,Python,72.15,A-Tier,1.61,6.84,8.29,1.85,226,163.18,419.6,33,declining,-0.0671,fair,medium,challenger
228,apache/apisix,Lua,71.37,A-Tier,1.8,5.93,8.25,3.43,252,141.47,417.67,61,declining,-0.0581,fair,low,challenger
229,files-community/Files,C#,70.18,A-Tier,5.35,10.51,8.01,2.08,749,250.92,405.37,37,stable,0.0205,fair,low,challenger
230,matplotlib/matplotlib,Python,69.32,A-Tier,1.43,7.11,8.12,1.46,201,169.69,410.81,26,rising,0.0597,fair,medium,challenger
231,docker/docs,JavaScript,68.73,A-Tier,0.24,8.7,8.06,1.4,34,207.68,408.11,25,rising,0.1299,good,medium,challenger
232,ansible/ansible,Python,68.56,A-Tier,3.37,6.41,8.04,2.75,472,153.08,407.1,49,declining,-0.1008,fair,low,challenger
233,darktable-org/darktable,C,68.42,A-Tier,0.5,7.35,8.07,1.69,70,175.38,408.51,30,stable,-0.0127,fair,low,challenger
234,ultralytics/yolov5,Unknown,67.74,A-Tier,8.64,6.15,7.86,8.93,1210,146.89,397.81,159,declining,-0.2612,fair,low,challenger
235,microsoft/terminal,C++,66.86,A-Tier,3.95,9.28,7.83,5.79,553,221.61,396.49,103,declining,-0.1039,fair,low,challenger
236,ArduPilot/ardupilot,C++,66.37,A-Tier,0.81,8.41,7.91,1.91,114,200.75,400.32,34,stable,-0.0205,fair,low,challenger
237,taosdata/TDengine,C,65.65,A-Tier,1.68,8.93,7.84,1.57,236,213.09,396.59,28,rising,0.2512,fair,high,challenger
238,xbmc/xbmc,Unknown,65.06,A-Tier,1.08,7.6,7.84,1.63,151,181.34,396.99,29,rising,0.0609,fair,medium,challenger
239,aws-amplify/amplify-cli,TypeScript,64.05,A-Tier,0.11,8.23,7.78,2.13,16,196.36,393.68,38,rising,0.0682,fair,medium,challenger
240,kubernetes/minikube,Go,63.9,A-Tier,1.32,6.44,7.76,6.8,185,153.8,392.8,121,declining,-0.0866,fair,low,challenger
241,open-mmlab/mmdetection,Python,62.88,A-Tier,3.09,6.05,7.67,7.64,433,144.41,387.96,136,declining,-0.2374,fair,low,challenger
242,desktop/desktop,TypeScript,61.47,A-Tier,1.51,7.47,7.57,7.19,211,178.32,383.11,128,declining,-0.131,fair,low,challenger
243,trustwallet/assets,Unknown,60.6,A-Tier,0.56,5.67,7.6,3.54,78,135.39,384.77,63,declining,-0.4283,fair,low,challenger
244,redis/redis,C,60.58,A-Tier,3.95,5.93,7.54,1.8,553,141.56,381.56,32,declining,-0.1044,fair,low,challenger
245,directus/directus,TypeScript,60.03,A-Tier,2.76,7.28,7.45,7.3,386,173.76,377.23,130,declining,-0.1591,fair,low,challenger
246,Regalis11/Barotrauma,C#,59.28,B-Tier,0.44,8.56,7.4,9.16,61,204.24,374.67,163,rising,0.1172,fair,high,follower
247,MarlinFirmware/Marlin,C++,59.16,B-Tier,1.18,7.15,7.43,7.58,165,170.75,375.96,135,declining,-0.129,fair,low,follower
248,opencv/opencv,C++,57.07,B-Tier,6.42,7.52,7.17,6.57,900,179.59,363.08,117,rising,0.2233,fair,medium,follower
249,rstudio/rstudio,R,55.85,B-Tier,0.23,6.04,7.26,6.35,32,144.17,367.48,113,declining,-0.1292,fair,low,follower
250,macports/macports-ports,Tcl,55.57,B-Tier,0.12,6.42,7.27,1.57,17,153.29,367.76,28,stable,-0.0249,good,low,follower
251,microsoft/vscode-jupyter,TypeScript,55.37,B-Tier,0.21,6.91,7.2,7.53,30,164.84,364.19,134,declining,-0.1952,fair,medium,follower
252,google-test/signclav2-probe-repo,Go,55.05,B-Tier,0.0,4.23,7.3,0.11,0,100.97,369.62,2,declining,-0.3147,poor,low,follower
253,qbittorrent/qBittorrent,C++,53.91,B-Tier,2.86,7.72,7.02,7.42,400,184.27,355.04,132,declining,-0.2559,fair,medium,follower
254,leanprover-community/mathlib,Lean,53.53,B-Tier,0.18,4.26,7.19,0.73,25,101.73,363.88,13,declining,-0.2966,fair,low,follower
255,mrdoob/three.js,JavaScript,53.03,B-Tier,6.9,6.08,6.96,1.35,967,145.13,352.04,24,declining,-0.0966,fair,low,follower
256,Skyrat-SS13/Skyrat-tg,Python,53.01,B-Tier,0.03,6.42,7.09,1.01,4,153.16,359.02,18,stable,0.0417,fair,medium,follower
257,ShadowMario/FNF-PsychEngine,GML,52.7,B-Tier,0.17,7.49,7.02,3.15,24,178.77,355.47,56,declining,-0.3421,fair,low,follower
258,azerothcore/azerothcore-wotlk,C++,52.01,B-Tier,0.89,7.25,6.98,1.57,125,173.01,353.11,28,declining,-0.0632,fair,medium,follower
259,PixelExperience/android-issues,Java,51.74,B-Tier,0.01,7.68,6.91,8.6,1,183.33,349.92,153,stable,-0.0482,fair,low,follower
260,apache/dolphinscheduler,Java,49.37,B-Tier,1.91,5.56,6.81,2.58,267,132.81,344.39,46,stable,-0.0448,fair,low,follower
261,firebase/flutterfire,Dart,49.24,B-Tier,0.79,5.95,6.78,6.52,111,141.98,343.14,116,declining,-0.1292,fair,low,follower
262,MicrosoftDocs/msteams-docs,Markdown,44.16,B-Tier,0.02,8.69,6.37,1.29,3,207.33,322.25,23,rising,0.1129,fair,medium,follower
263,ppy/osu,C#,43.52,B-Tier,1.66,7.82,6.3,2.3,232,186.75,318.71,41,stable,0.0352,fair,low,follower
264,termux/termux-packages,Shell,42.21,B-Tier,1.61,8.14,6.19,2.08,226,194.21,313.06,37,rising,0.0996,fair,medium,follower
265,angular/components,TypeScript,41.8,B-Tier,0.69,6.49,6.2,5.67,96,154.86,313.75,101,rising,0.1352,fair,medium,follower
266,RPCS3/rpcs3,C++,41.8,B-Tier,0.89,9.54,6.1,5.39,124,227.78,308.56,96,rising,0.0562,fair,medium,follower
267,dotnet/AspNetCore.Docs,C#,41.69,B-Tier,0.91,6.34,6.22,2.25,128,151.4,314.63,40,rising,0.1121,fair,medium,follower
268,mattermost/mattermost-webapp,TypeScript,40.93,B-Tier,0.22,4.93,6.23,1.07,31,117.57,315.17,19,rising,0.0583,fair,medium,follower
269,influxdata/telegraf,Go,40.31,B-Tier,0.93,5.66,6.13,2.3,130,135.17,310.06,41,declining,-0.0913,fair,low,follower
270,JuliaRegistries/General,Julia,40.23,B-Tier,0.06,8.72,6.05,0.67,9,208.2,306.37,12,stable,0.0272,fair,low,follower
271,yuzu-emu/yuzu,Unknown,40.05,B-Tier,3.84,6.38,5.98,5.39,538,152.31,302.84,96,rising,0.0647,fair,medium,follower
272,rapid7/metasploit-framework,Ruby,39.96,C-Tier,1.99,7.19,6.03,1.01,279,171.68,305.26,18,rising,0.071,fair,medium,niche
273,matrix-org/synapse,Python,38.7,C-Tier,0.9,5.92,6.0,0.73,126,141.2,303.59,13,declining,-0.1469,fair,low,niche
274,firebase/firebase-android-sdk,Java,38.58,C-Tier,0.21,6.77,5.98,0.84,29,161.53,302.5,15,declining,-0.1146,fair,low,niche
275,IntelRealSense/librealsense,C++,36.9,C-Tier,0.56,7.31,5.8,2.19,79,174.57,293.3,39,rising,0.0893,fair,medium,niche
276,spyder-ide/spyder,Python,36.39,C-Tier,0.41,7.37,5.71,7.08,58,175.83,289.01,126,declining,-0.2028,fair,low,niche
277,TP-Lab/tokens,TypeScript,33.92,C-Tier,0.09,5.24,5.6,4.33,13,125.14,283.39,77,declining,-0.4568,fair,low,niche
278,lensapp/lens,TypeScript,31.9,C-Tier,1.36,5.91,5.36,3.6,190,141.09,271.45,64,declining,-0.1624,fair,low,niche
279,Chia-Network/chia-blockchain,Python,31.85,C-Tier,0.41,6.62,5.39,0.67,57,158.08,272.59,12,declining,-0.3946,fair,low,niche
280,xamarin/xamarin-macios,Unknown,29.87,C-Tier,0.08,7.76,5.17,0.56,11,185.28,261.44,10,rising,0.1233,poor,high,niche
281,flutter/plugins,Dart,28.99,C-Tier,0.36,4.71,5.19,0.73,50,112.35,262.6,13,declining,-0.303,fair,low,niche
282,TeamNewPipe/NewPipe,Java,27.29,C-Tier,2.14,4.61,4.92,5.79,300,110.1,249.07,103,declining,-0.1631,fair,low,niche
283,coolsnowwolf/lede,C,26.62,C-Tier,3.16,4.21,4.85,4.83,443,100.41,245.33,86,declining,-0.2093,fair,low,niche
284,nextcloud/desktop,TypeScript,26.41,C-Tier,0.29,5.61,4.87,3.54,40,134.03,246.49,63,declining,-0.0541,fair,low,niche
285,ankidroid/Anki-Android,Java,25.9,C-Tier,0.91,6.9,4.77,0.73,128,164.76,241.6,13,declining,-0.1578,fair,low,niche
286,tachiyomiorg/tachiyomi,Kotlin,21.85,C-Tier,3.33,5.47,4.26,4.94,467,130.49,215.73,88,stable,-0.0067,fair,low,niche
287,jitsi/jitsi-meet,JavaScript,21.72,C-Tier,1.21,4.79,4.39,1.69,169,114.29,222.17,30,declining,-0.2083,fair,low,niche
288,gatsbyjs/gatsby,JavaScript,19.22,D-Tier,1.21,4.16,4.11,2.7,170,99.26,208.18,48,declining,-0.2935,fair,low,niche
289,mozilla-mobile/fenix,Kotlin,16.47,D-Tier,0.14,4.9,3.79,0.84,20,116.9,191.96,15,declining,-0.2291,fair,low,niche
290,flybywiresim/a32nx,JavaScript,14.99,D-Tier,0.27,4.18,3.63,0.84,38,99.67,183.55,15,declining,-0.3088,fair,low,niche
291,Kaiserreich/Kaiserreich-4,Lua,12.2,D-Tier,0.01,5.05,3.13,3.76,1,120.51,158.43,67,declining,-0.2315,fair,low,niche
292,element-fi/elf-council-frontend,TypeScript,5.31,D-Tier,0.01,12.91,0.33,0.28,1,308.25,16.8,5,declining,-0.6859,poor,low,niche
293,idsb3t1/KEEP-pipeline-tests-resources,Python,4.54,D-Tier,0.0,10.61,0.54,0.06,0,253.27,27.09,1,stable,-0.0207,poor,low,niche
294,solana-labs/token-list,TypeScript,1.33,D-Tier,0.06,3.16,0.03,0.45,8,75.39,1.41,8,declining,-0.8272,poor,low,niche
295,helium/denylist,Python,0.91,D-Tier,0.06,2.03,0.25,0.22,8,48.42,12.61,4,declining,-0.6683,poor,medium,niche
296,nuxt/framework,PHP,0.42,D-Tier,0.16,0.82,0.15,0.22,22,19.68,7.48,4,declining,-0.2083,poor,low,niche
297,archway-network/testnets,Rust,0.38,D-Tier,0.01,0.92,0.03,0.06,1,22.03,1.73,1,declining,-0.9164,poor,low,niche
298,section-engineering-education/engineering-education,Markdown,0.38,D-Tier,0.02,0.75,0.2,0.28,3,17.92,10.35,5,declining,-0.8945,poor,low,niche
299,education/GitHubGraduation-2022,JavaScript,0.16,D-Tier,0.04,0.19,0.22,0.22,5,4.44,11.34,4,stable,0.0,poor,low,niche
300,JacksonKearl/testissues,Python,0.03,D-Tier,0.01,0.05,0.03,0.06,1,1.28,1.73,1,declining,-0.9726,poor,low,niche
